,mape_max_swe,snow_melt_rate,median_bias_swe_duration_Day
SNOTEL:1062_AK_SNTL,-0.17938808130779904,-0.38759379758480095,0.043689320388349516
SNOTEL:1182_AK_SNTL,-0.06326551405195435,-0.2577065505039377,0.019138755980861243
SNOTEL:958_AK_SNTL,-0.12392753570666397,-0.12158530408851555,0.07725321888412018
SNOTEL:959_AK_SNTL,0.37791262137907844,-0.16341019416270247,0.21363636363636362
SNOTEL:1174_AK_SNTL,-0.13444569104612653,-0.7930737917354957,-0.009433962264150943
SNOTEL:956_AK_SNTL,0.3558978786666521,-0.5126603108939431,0.33613445378151263
SNOTEL:963_AK_SNTL,-0.32175897749816845,-0.20754735653334896,0.018604651162790697
SNOTEL:964_AK_SNTL,0.38901030450166046,-0.1992977753306091,0.09900990099009901
SNOTEL:946_AK_SNTL,-0.0434608586656292,-0.5224822154227274,0.09236947791164658
SNOTEL:966_AK_SNTL,0.003699835829847441,-0.5877943810344851,-0.016853932584269662
SNOTEL:947_AK_SNTL,0.11140398285277006,-0.559033635589143,0.07142857142857142
SNOTEL:1003_AK_SNTL,-0.6898044555248027,-0.8676082987527588,-0.02403846153846154
SNOTEL:949_AK_SNTL,0.4590966732796097,-0.2965499247152974,0.18396226415094338
SNOTEL:1035_AK_SNTL,0.771896811930504,-0.2513373223110873,0.2523364485981308
SNOTEL:1103_AK_SNTL,-0.41603117487635866,-0.6267171980499242,0.08641975308641975
SNOTEL:948_AK_SNTL,0.007283436640649896,-0.5367740836678129,0.07511737089201878
SNOTEL:950_AK_SNTL,-0.3109348596876005,-0.6495768789254833,-0.02564102564102564
SNOTEL:1002_AK_SNTL,0.08566526786115672,0.4425193754122058,0.009523809523809525
SNOTEL:955_AK_SNTL,0.7326624277587692,-0.2018494138556487,0.2638888888888889
SNOTEL:967_AK_SNTL,-0.2026050860909438,-0.32260103696023984,-0.02912621359223301
SNOTEL:951_AK_SNTL,0.192788370936055,-0.6314824161273165,0.06074766355140187
SNOTEL:954_AK_SNTL,-0.3502981634744446,-0.4545036602081868,0.04918032786885246
SNOTEL:1055_AK_SNTL,0.8212135734984322,-0.47811519295746885,0.5689655172413793
