,reachID,segID
15476000,81018523,856
15476300,81019115,941
15477730,81015760,342
15477740,81015760,342
15477761,81015760,342
15477768,81016519,534
15477770,81016519,534
15477790,81015966,409
15478040,81021568,1226
15484000,81015621,318
15485500,81014312,51
15493000,81014458,94
15493400,81014453,89
15493500,81014449,85
15493700,81014449,85
15511000,81014548,122
15514000,81014441,77
15515048,81018057,801
15515060,81018057,801
15515080,81018057,801
15515500,81015538,286
