key,param,minmax
OAAT0119,medlynintercept,min
OAAT0121,fnps,min
OAAT0122,fnps,max
OAAT0123,theta_psii,min
OAAT0124,theta_psii,max
OAAT0125,theta_ip,max
OAAT0126,theta_cj,min
OAAT0127,theta_cj,max
OAAT0128,kc25_coef,min
OAAT0129,kc25_coef,max
OAAT0130,ko25_coef,min
OAAT0131,ko25_coef,max
OAAT0132,cp25_yr2000,min
OAAT0133,cp25_yr2000,max
OAAT0134,fnr,min
OAAT0135,act25,min
OAAT0136,act25,max
OAAT0137,tpu25ratio,min
OAAT0138,tpu25ratio,max
OAAT0139,kp25ratio,min
OAAT0140,kp25ratio,max
OAAT0141,lmrse,min
OAAT0143,slatop,min
OAAT0144,slatop,max
OAAT0146,jmaxb0,max
OAAT0147,jmaxb1,min
OAAT0148,jmaxb1,max
OAAT0150,wc2wjb0,max
OAAT0151,enzyme_turnover_daily,min
OAAT0152,enzyme_turnover_daily,max
OAAT0153,relhExp,min
OAAT0154,relhExp,max
OAAT0155,minrelh,min
OAAT0156,minrelh,max
OAAT0157,luna_theta_cj,min
OAAT0158,luna_theta_cj,max
OAAT0159,kmax,min
OAAT0160,kmax,max
OAAT0161,krmax,min
OAAT0162,krmax,max
OAAT0163,psi50,min
OAAT0164,psi50,max
OAAT0165,ck,min
OAAT0166,ck,max
OAAT0167,rootprof_beta,min
OAAT0168,rootprof_beta,max
OAAT0169,fbw,min
OAAT0170,fbw,max
OAAT0171,nstem,min
OAAT0172,nstem,max
OAAT0173,rstem,min
OAAT0174,rstem,max
OAAT0175,wood_density,min
OAAT0176,wood_density,max
OAAT0205,froot_leaf,min
OAAT0206,froot_leaf,max
OAAT0219,leafcn,min
OAAT0220,leafcn,max
OAAT0349,vcmaxha,min
OAAT0351,jmaxha,min
OAAT0352,jmaxha,max
OAAT0353,tpuha,min
OAAT0355,lmrha,min
OAAT0356,lmrha,max
OAAT0357,kcha,min
OAAT0358,kcha,max
OAAT0359,koha,min
OAAT0360,koha,max
OAAT0361,cpha,min
OAAT0362,cpha,max
OAAT0364,vcmaxhd,max
OAAT0365,jmaxhd,min
OAAT0366,jmaxhd,max
OAAT0367,tpuhd,min
OAAT0368,tpuhd,max
OAAT0370,lmrhd,max
OAAT0371,vcmaxse_sf,min
OAAT0373,jmaxse_sf,min
OAAT0375,tpuse_sf,min
OAAT0376,tpuse_sf,max
OAAT0377,jmax25top_sf,min
OAAT0378,jmax25top_sf,max
OAAT0389,om_frac_sf,max
OAAT0390,slopebeta,min
OAAT0391,slopebeta,max
OAAT0392,slopemax,min
OAAT0393,slopemax,max
OAAT0394,pc,max
OAAT0395,mu,min
OAAT0396,mu,max
OAAT0397,C2_liq_Brun89,min
OAAT0398,C2_liq_Brun89,max
OAAT0399,om_frac_sf,min
OAAT0400,medlynslope,min
OAAT0403,jmaxb0,min
OAAT0404,wc2wjb0,min
OAAT0413,medlynintercept,max
OAAT0418,vcmaxha,max
OAAT0419,tpuha,max
OAAT0426,lmrse,max
OAAT0435,jmaxse_sf,max
OAAT0440,lmrhd,min
OAAT0441,vcmaxse_sf,max
OAAT0442,vcmaxhd,min
OAAT0449,sucsat_sf,max
OAAT0454,sucsat_sf,min
OAAT0458,sand_pf,min
OAAT0459,sand_pf,max
OAAT0460,clay_pf,min
OAAT0461,clay_pf,max
OAAT0462,flnr,min
OAAT0463,flnr,max
OAAT0464,dbh,min
OAAT0465,dbh,max
OAAT0466,leaf_mr_vcm,min
OAAT0467,leaf_mr_vcm,max
OAAT0468,fnitr,min
